episode,total_reward,steps,goals_scored,goals_conceded,hits,avg_distance,win
79,1451.4123856426925,1375,1,0,8,188.30623755687074,True
80,4994.024517878786,3000,0,0,74,119.59792919970785,False
81,4994.024517878786,3000,0,0,74,119.59792919970785,False
82,4994.024517878786,3000,0,0,74,119.59792919970785,False
83,1451.4123856426925,1375,1,0,8,188.30623755687074,True
84,406.17622785289086,628,1,0,3,265.3407817297632,True
85,406.17622785289086,628,1,0,3,265.3407817297632,True
86,1080.2952638530796,662,1,0,7,249.85931114112418,True
87,4994.024517878786,3000,0,0,74,119.59792919970785,False
88,1080.2952638530796,662,1,0,7,249.85931114112418,True
89,4994.024517878786,3000,0,0,74,119.59792919970785,False
90,1451.4123856426925,1375,1,0,8,188.30623755687074,True
91,1451.4123856426925,1375,1,0,8,188.30623755687074,True
92,4994.024517878786,3000,0,0,74,119.59792919970785,False
93,4994.024517878786,3000,0,0,74,119.59792919970785,False
94,4994.024517878786,3000,0,0,74,119.59792919970785,False
95,4994.024517878786,3000,0,0,74,119.59792919970785,False
96,406.17622785289086,628,1,0,3,265.3407817297632,True
97,1451.4123856426925,1375,1,0,8,188.30623755687074,True
98,1451.4123856426925,1375,1,0,8,188.30623755687074,True
99,1080.2952638530796,662,1,0,7,249.85931114112418,True
100,406.17622785289086,628,1,0,3,265.3407817297632,True
